id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
25303,28,37000,0,1.0,0,0,3000,7.14,0.08,0,5,0
20259,25,43000,1,3.0,4,0,18000,7.66,0.42,0,3,1
39577,34,57000,0,11.0,1,2,2500,11.72,0.04,0,6,0
5012,22,38000,1,0.0,5,1,10000,10.99,0.26,0,2,0
44530,22,30000,1,2.0,4,3,5000,14.96,0.17,1,2,1
20953,40,130000,0,6.0,4,1,11800,11.14,0.09,0,13,0
15125,40,75000,0,2.0,1,0,4400,6.99,0.06,0,12,0
33510,30,30996,0,7.0,3,1,8000,10.39,0.26,0,8,0
2013,22,78000,0,5.0,1,0,14000,6.03,0.18,0,2,0
35728,26,85000,0,0.0,2,1,5000,11.36,0.06,0,2,0
17370,28,42000,1,4.0,2,2,3500,14.65,0.08,1,5,0
45720,48,78000,0,1.0,1,1,8000,9.99,0.1,0,12,0
11124,24,85000,1,3.0,5,1,7200,10.99,0.08,0,4,0
25834,23,42000,1,7.0,1,0,10000,7.49,0.24,0,3,0
2522,28,48000,0,4.0,0,0,3000,5.79,0.06,0,7,0
23924,26,30000,1,4.0,2,1,12000,10.38,0.4,0,4,1
14652,25,40000,1,5.0,4,1,1600,11.86,0.04,0,2,0
14166,24,60000,1,6.0,2,1,10000,10.65,0.17,0,4,0
12830,23,66000,1,0.0,4,1,10000,11.86,0.15,0,2,0
4019,25,80000,1,0.0,4,0,5000,7.74,0.06,0,3,0
51617,30,72000,0,12.0,4,0,10000,6.62,0.14,0,9,0
1266,25,70000,1,0.0,0,1,15000,9.99,0.21,0,4,0
49697,24,30000,1,8.0,1,2,11300,13.49,0.38,0,2,1
53934,29,130000,0,14.0,3,0,25000,7.51,0.19,0,5,0
7292,26,66000,0,10.0,2,3,8000,14.96,0.12,1,3,1
40370,23,31500,1,2.0,0,2,5000,13.92,0.16,0,2,0
33019,28,39000,2,0.0,3,3,11700,14.84,0.29,0,5,0
35585,28,120000,0,12.0,2,0,10000,6.92,0.08,0,8,0
18065,23,39996,1,3.0,1,1,2400,12.53,0.06,0,4,0
21487,23,57000,0,4.0,0,1,15000,11.58,0.26,0,3,0
4902,23,96000,1,8.0,1,1,7300,8.88,0.08,0,3,0
32709,23,35000,1,5.0,5,0,4000,6.91,0.11,0,2,0
37491,23,70000,0,7.0,1,1,9600,11.71,0.14,0,4,0
16586,22,60500,1,3.0,1,2,8000,12.84,0.13,1,2,0
9482,23,68000,0,3.0,4,2,15000,12.73,0.22,1,2,0
39929,26,30000,1,2.0,0,2,10000,14.22,0.33,1,3,1
48723,22,16200,1,0.0,0,2,1500,13.99,0.09,1,3,0
2993,21,37200,1,5.0,1,0,6000,5.99,0.16,0,4,0
29589,22,75000,1,6.0,4,0,10000,7.88,0.13,0,2,0
10838,29,44000,0,2.0,2,2,12000,14.72,0.27,1,6,1
22210,26,55000,1,1.0,1,2,1500,12.84,0.03,1,3,0
31423,31,75000,0,15.0,3,1,7500,10.38,0.1,0,9,0
29969,22,32400,1,5.0,1,2,4000,13.48,0.12,1,4,0
91,24,225000,1,0.0,4,2,3000,14.26,0.01,1,2,0
20902,28,87600,0,4.0,1,0,3400,8.49,0.04,0,6,0
33493,24,122880,0,4.0,1,3,16000,15.31,0.12,1,4,0
15497,22,105000,0,6.0,5,0,6500,7.14,0.06,0,4,0
4194,30,105000,0,4.0,2,0,5000,5.99,0.05,0,6,0
16537,25,54000,0,8.0,1,0,10000,7.49,0.19,0,4,0
7256,23,42000,2,3.0,0,1,3500,10.37,0.08,0,2,0
57002,24,60000,0,8.0,3,1,12000,10.62,0.2,0,3,0
43960,22,36000,0,6.0,0,1,10000,9.91,0.28,0,4,0
54386,22,34000,1,6.0,2,1,5000,11.71,0.15,0,2,1
53592,38,120000,1,3.0,5,1,8800,10.0,0.07,0,11,0
57600,36,42000,0,18.0,0,0,2000,6.62,0.05,0,16,0
6863,31,47000,0,8.0,2,2,10000,12.73,0.21,1,9,0
11310,21,42000,1,5.0,3,2,1000,13.49,0.02,1,2,1
6314,25,80000,0,7.0,3,0,6000,7.14,0.07,0,3,0
48614,37,65000,0,4.0,1,1,12000,10.62,0.18,0,15,0
52076,30,74000,0,11.0,5,4,10000,18.79,0.14,1,8,0
19665,41,25000,1,2.0,5,2,1800,13.23,0.07,1,13,0
4075,26,50000,1,3.0,4,2,4000,13.49,0.08,1,2,0
44207,30,48000,0,14.0,4,1,6400,9.99,0.14,0,8,0
32601,23,63000,1,8.0,1,3,4500,15.65,0.07,1,3,0
55405,23,45378,0,7.0,1,0,6000,6.62,0.13,0,2,0
29524,28,70000,0,2.0,5,0,10000,8.59,0.14,0,8,0
54320,23,50000,1,0.0,1,1,10000,10.59,0.2,0,3,0
15629,24,30000,1,1.0,4,0,6000,7.51,0.2,0,3,0
16565,28,80000,0,12.0,0,0,12000,7.49,0.15,0,9,0
4461,23,65000,1,6.0,5,1,6000,11.71,0.09,0,2,0
26415,35,45000,1,7.0,4,2,7800,13.49,0.17,1,6,0
11182,27,72000,0,11.0,0,2,10000,13.57,0.14,1,5,0
49872,28,50000,0,11.0,5,3,20000,17.58,0.4,0,9,0
50364,24,55000,1,7.0,4,0,10800,7.88,0.2,0,2,0
39638,23,50000,1,4.0,1,1,8400,11.86,0.17,0,2,0
39551,31,68000,0,7.0,0,0,6000,7.49,0.09,0,7,0
13392,25,74000,2,1.0,1,1,11500,10.25,0.16,0,2,0
46935,28,48000,0,7.0,3,0,2500,6.76,0.05,0,9,0
37390,22,40000,1,3.0,1,0,10000,6.03,0.25,0,4,0
15172,23,80000,1,8.0,1,3,5000,16.02,0.06,1,2,0
7130,27,25000,1,4.0,0,1,4000,10.99,0.16,0,10,0
56679,23,73164,0,7.0,0,2,1000,13.23,0.01,1,2,0
17502,24,52800,1,8.0,5,0,3600,7.51,0.07,0,4,0
23788,24,25000,2,0.0,0,2,5600,13.11,0.22,1,4,0
11918,24,38000,1,8.0,5,0,12000,7.29,0.32,0,2,1
58289,28,34000,0,0.0,1,1,1500,11.99,0.04,0,5,1
18297,37,66300,1,1.0,4,4,15000,17.99,0.19,1,11,1
37866,24,25200,1,0.0,5,1,6500,9.76,0.26,0,3,0
41767,48,60000,1,5.0,4,0,8000,7.29,0.13,0,13,0
31049,24,68400,0,8.0,1,3,9000,12.17,0.13,0,4,1
16150,24,90000,1,3.0,4,0,5000,7.9,0.06,0,2,0
16186,31,30000,1,3.0,0,2,5000,13.92,0.17,0,6,0
56235,28,46000,1,1.0,4,1,15000,10.99,0.33,0,5,1
1847,27,40000,0,4.0,3,2,7000,13.49,0.17,1,10,0
49087,37,42000,0,11.0,3,0,8400,7.49,0.2,0,17,0
3766,22,45000,0,6.0,1,1,3000,10.62,0.07,0,2,0
37444,25,42000,1,1.0,4,1,5000,10.74,0.12,0,2,0
3357,27,120000,0,1.0,5,1,9600,12.18,0.08,0,9,0
51170,27,58000,1,0.0,0,1,9500,9.91,0.16,0,10,0
9871,29,72500,0,2.0,3,0,4000,5.42,0.06,0,7,0
39460,28,55000,0,3.0,3,0,3000,6.03,0.05,0,10,0
23004,22,54000,1,6.0,0,4,9000,18.64,0.17,0,2,1
43555,22,100000,1,6.0,0,0,6000,8.9,0.06,0,3,0
18615,24,85000,0,2.0,2,0,8100,7.29,0.1,0,4,0
34554,24,90000,1,0.0,4,2,15000,13.47,0.17,1,2,0
14913,25,114000,0,8.0,1,1,6000,10.59,0.05,0,2,0
2100,32,55000,1,4.0,4,2,8000,13.85,0.15,1,10,0
2110,34,80000,1,3.0,0,1,21000,10.59,0.26,0,8,0
55801,35,40000,1,4.0,1,2,10000,13.99,0.25,1,6,0
8095,25,24000,1,4.0,5,2,5000,12.99,0.21,0,2,0
23797,23,33504,0,3.0,1,0,6000,7.75,0.18,0,4,0
41260,28,40000,0,2.0,4,0,5000,5.42,0.13,0,10,0
15748,25,54000,1,2.0,3,3,16000,14.59,0.29,1,4,1
33992,33,78000,0,4.0,5,1,20000,11.49,0.26,0,9,0
2479,46,51996,1,5.0,4,2,7000,13.98,0.13,0,16,0
2421,24,27000,1,9.0,2,1,7800,10.99,0.3,0,3,0
49174,40,60000,0,5.0,0,1,7000,10.0,0.12,0,14,0
18124,22,58000,0,4.0,1,0,6000,7.68,0.1,0,4,0
16863,27,55000,0,0.0,2,1,25000,9.25,0.45,0,6,0
18227,26,45000,1,0.0,1,1,5000,9.25,0.11,0,2,0
43589,23,75000,0,3.0,5,1,6000,11.49,0.08,0,3,0
38599,27,136173,0,5.0,3,0,5000,6.62,0.04,0,8,0
33904,26,36000,1,0.0,5,3,10000,14.91,0.28,0,2,1
24901,28,97781,0,12.0,2,0,20000,7.51,0.19,0,9,0
50597,22,40000,1,2.0,5,2,4000,13.16,0.1,0,2,0
12929,24,70000,0,2.0,2,1,14000,11.36,0.2,0,4,0
42108,34,90000,1,0.0,2,0,3000,7.88,0.03,0,7,0
28221,23,95000,0,7.0,5,0,5000,7.29,0.05,0,4,0
50531,24,90000,0,8.0,5,3,15000,15.31,0.17,1,4,0
38189,23,35000,1,5.0,2,1,5000,11.71,0.14,0,3,0
35001,22,24000,1,2.0,1,0,4000,8.9,0.17,0,2,0
14911,37,33000,1,0.0,0,0,6000,8.9,0.18,0,17,0
19164,21,40000,1,0.0,5,0,3400,7.51,0.09,0,4,0
58049,24,24000,1,0.0,4,1,3000,9.45,0.13,0,2,0
33742,28,100000,1,7.0,2,2,16000,13.85,0.16,1,7,0
49314,25,42000,1,3.0,1,2,6000,12.87,0.14,0,4,0
36660,25,62393,1,6.0,4,3,25000,15.65,0.39,1,4,1
42542,22,50000,0,6.0,1,1,4500,10.37,0.09,0,2,0
49463,31,54000,0,11.0,3,4,5400,17.74,0.1,0,5,1
30397,22,75000,1,5.0,4,0,20000,7.14,0.27,0,2,0
22619,21,42000,2,2.0,5,3,4800,15.23,0.11,1,3,0
18416,23,60000,0,7.0,1,0,7200,6.03,0.12,0,4,0
40972,24,54996,1,8.0,4,2,20000,13.23,0.37,1,2,1
51255,29,70000,1,2.0,4,1,3000,11.71,0.04,0,8,0
33719,25,49000,1,9.0,5,1,20000,12.53,0.41,0,3,1
43048,31,80000,0,3.0,0,1,16000,9.99,0.2,0,5,0
24599,24,33000,1,0.0,3,1,7500,10.39,0.23,0,2,1
37267,24,200000,1,0.0,4,1,8000,10.74,0.04,0,4,0
11276,25,42240,2,10.0,4,1,12000,11.86,0.28,0,4,0
41212,28,30000,1,0.0,5,3,8400,14.61,0.28,1,5,1
2112,26,62000,0,9.0,5,0,5000,6.92,0.08,0,2,0
16878,23,70000,1,2.0,5,3,22000,15.65,0.31,0,4,1
12921,27,55000,0,2.0,3,1,16000,9.76,0.29,0,6,0
23988,23,70000,0,2.0,0,2,5000,15.23,0.07,0,2,0
38845,26,52800,1,0.0,5,0,2400,7.9,0.04,0,4,1
17645,28,60000,0,13.0,5,0,8000,8.59,0.13,0,7,0
23778,23,85000,0,7.0,0,2,5000,12.99,0.06,0,2,0
58551,21,49000,1,5.0,0,0,4800,7.29,0.1,0,3,0
46153,32,30000,1,4.0,2,3,5000,16.32,0.17,0,8,1
57016,26,48686,1,4.0,5,3,3000,14.61,0.06,0,4,0
29575,22,35000,2,3.0,2,0,8500,6.92,0.23,0,2,0
25782,36,50000,0,2.0,2,0,12000,7.29,0.24,0,15,0
55072,38,110000,0,0.0,4,1,23750,10.37,0.2,0,11,0
4333,29,143000,0,11.0,5,0,18000,5.79,0.13,0,9,0
27419,28,55000,1,0.0,3,1,3000,10.74,0.05,0,6,0
8871,23,56000,0,7.0,4,1,7000,9.91,0.13,0,4,0
19854,22,70000,1,6.0,2,2,18000,14.65,0.26,0,2,0
17366,36,53000,1,3.0,3,2,4200,13.06,0.08,0,17,0
44879,26,75000,1,9.0,1,2,12000,12.09,0.16,1,3,0
39120,30,40000,1,0.0,2,2,8000,14.35,0.2,0,6,0
51586,24,85000,1,8.0,1,2,12000,14.27,0.14,0,4,0
22751,22,36000,0,0.0,1,0,8000,7.88,0.22,0,4,0
18370,54,97800,0,5.0,5,2,10000,13.23,0.1,1,24,0
51906,32,75000,1,0.0,4,0,14400,6.91,0.21,0,8,0
4680,23,40000,1,1.0,1,1,7000,10.65,0.17,0,4,0
12690,23,50026,0,2.0,1,1,2000,10.74,0.04,0,3,0
53924,28,61000,1,4.0,2,1,12000,11.12,0.2,0,7,0
1091,26,91800,0,2.0,2,3,25000,16.89,0.23,1,4,1
14950,22,103992,0,6.0,2,0,18000,7.88,0.17,0,3,0
54845,36,58000,0,3.0,3,1,8000,10.37,0.14,0,11,0
8759,23,75000,1,1.0,0,1,12000,10.74,0.16,0,3,0
27621,21,68000,0,5.0,1,0,10000,6.03,0.15,0,4,0
58564,22,52000,1,1.0,1,2,10000,13.16,0.19,0,2,0
39643,21,30000,1,4.0,0,2,6000,12.99,0.2,0,4,0
9626,23,140000,0,3.0,0,2,16000,12.99,0.12,0,4,0
45596,29,60000,1,5.0,5,1,10000,10.65,0.17,0,6,0
1848,29,36000,0,6.0,5,1,10000,12.42,0.28,0,5,1
40902,25,28896,1,5.0,5,1,9600,10.59,0.34,0,2,1
8595,33,38000,1,5.0,5,1,8000,10.37,0.21,0,6,0
48177,22,40000,2,1.0,0,1,8000,12.18,0.2,0,3,0
57271,24,30000,1,0.0,1,0,8000,8.9,0.27,0,3,0
26101,23,59475,1,4.0,4,3,3000,15.7,0.05,1,2,1
39808,27,48000,2,11.0,1,1,18000,12.69,0.38,0,9,0
55971,24,42000,0,8.0,5,2,12250,12.73,0.29,0,3,0
54962,25,120579,0,9.0,5,0,30000,7.49,0.25,0,3,0
25107,26,30000,1,4.0,4,0,5000,8.9,0.17,0,2,0
11642,22,40000,1,6.0,5,0,10000,7.88,0.25,0,2,0
50040,26,80000,1,4.0,4,0,6000,6.03,0.07,0,3,0
9625,28,55000,0,12.0,5,1,6000,11.49,0.11,0,8,0
39055,22,60000,0,6.0,5,0,10000,7.88,0.17,0,3,0
1128,25,42000,1,2.0,2,0,7000,9.32,0.17,0,4,0
57428,30,130000,0,14.0,5,0,10000,6.17,0.08,0,6,0
56866,28,130000,0,7.0,5,0,7200,8.9,0.05,0,8,0
7333,22,50000,2,5.0,5,1,3500,10.99,0.07,0,4,0
20546,44,56000,0,3.0,2,1,5000,10.38,0.09,0,12,0
18329,29,48000,1,4.0,4,0,10000,8.0,0.21,0,10,0
53475,36,55000,0,3.0,5,1,4000,10.59,0.07,0,17,0
51458,22,41000,1,6.0,2,2,7000,13.49,0.17,0,3,0
25894,27,84000,0,11.0,5,0,6000,7.88,0.07,0,8,0
3955,43,150000,0,1.0,0,1,15000,11.14,0.1,0,17,0
46627,32,35000,1,4.0,5,0,5500,5.79,0.16,0,6,0
4586,36,86500,0,2.0,1,0,17000,7.51,0.21,0,14,0
58628,26,54000,1,4.0,5,3,1600,14.96,0.03,1,3,1
27268,41,45000,1,1.0,2,2,4000,13.48,0.09,0,11,0
51312,35,90000,0,6.0,5,0,10000,7.14,0.11,0,5,0
13407,24,65000,0,8.0,2,0,6000,5.42,0.09,0,4,0
54258,27,60000,0,11.0,3,0,6000,7.49,0.1,0,5,0
57545,24,108000,0,5.0,0,3,25000,15.62,0.23,1,4,1
11984,31,70000,1,5.0,0,1,10000,9.91,0.14,0,10,0
42340,24,65000,1,5.0,3,3,15000,15.31,0.23,1,4,0
41625,23,60000,1,3.0,0,0,10000,7.51,0.17,0,3,0
7674,29,100000,0,13.0,2,1,9000,12.42,0.09,0,9,0
22246,27,30000,1,2.0,4,1,7000,9.76,0.23,0,8,0
34187,24,75000,0,8.0,2,0,10000,6.62,0.13,0,4,0
29235,41,27000,1,5.0,2,0,10000,7.88,0.37,0,17,1
2491,31,50000,1,8.0,4,0,6000,6.99,0.12,0,10,0
22356,31,30000,1,2.0,1,3,4200,16.02,0.14,0,5,1
50521,28,67000,0,3.0,0,1,8000,10.95,0.12,0,7,0
28893,23,98004,1,2.0,2,0,12000,6.54,0.12,0,4,0
24221,37,65000,1,19.0,1,0,12000,7.9,0.18,0,13,0
11311,26,45000,0,6.0,5,0,9600,6.99,0.22,0,2,0
20865,25,49200,1,2.0,4,2,10000,13.23,0.2,1,3,0
56150,39,48000,1,0.0,0,0,1000,8.49,0.02,0,16,1
55722,32,140000,0,4.0,3,1,20000,11.36,0.14,0,10,0
28188,23,85000,0,7.0,4,1,4500,11.71,0.05,0,3,0
49744,36,78000,1,18.0,1,4,25000,16.4,0.31,1,11,1
21756,31,50000,1,2.0,0,2,7000,12.53,0.14,0,7,0
20144,31,65000,0,3.0,2,2,7000,13.61,0.11,0,9,0
37224,25,94500,2,6.0,1,1,15000,11.83,0.16,0,2,0
33112,34,44000,0,18.0,3,0,6200,6.03,0.14,0,9,0
44728,23,45000,1,5.0,0,0,18000,6.03,0.42,0,3,1
32498,36,80000,1,0.0,1,1,4800,10.59,0.06,0,14,0
27466,22,62000,1,6.0,5,0,5000,6.03,0.08,0,4,0
5329,24,39000,1,0.0,3,4,16750,16.7,0.43,0,2,1
53278,23,75000,1,7.0,0,3,15000,15.05,0.2,0,3,1
9053,24,35000,0,8.0,5,0,6000,7.49,0.17,0,4,0
16077,30,36000,1,8.0,5,0,10000,7.49,0.28,0,10,0
14311,21,38000,1,2.0,1,2,8000,13.61,0.21,0,3,0
29716,29,56000,1,5.0,5,0,4800,7.14,0.09,0,5,0
11936,26,42000,1,2.0,2,3,10000,14.96,0.24,1,4,1
2867,28,50000,1,1.0,3,2,10000,12.09,0.2,1,8,0
24773,24,45600,2,8.0,0,0,3000,7.66,0.07,0,4,0
31901,27,83200,1,3.0,2,3,9000,16.49,0.11,1,6,1
26272,28,60000,1,0.0,5,2,5000,14.65,0.08,1,5,0
2662,37,60000,1,0.0,1,2,9600,13.23,0.16,1,14,0
35718,29,78996,1,0.0,3,3,15000,15.21,0.19,0,10,1
7259,31,170000,0,13.0,0,3,25000,15.21,0.15,1,9,0
44128,26,31000,0,8.0,2,1,6000,11.71,0.19,0,4,0
3939,24,88494,1,8.0,1,1,24000,10.99,0.27,0,2,0
17464,24,69000,1,5.0,3,3,10000,16.89,0.14,0,3,0
37324,29,55272,2,13.0,5,0,17600,6.17,0.33,0,9,0
8652,31,78000,0,6.0,3,0,7875,6.62,0.1,0,8,0
36198,33,30000,1,0.0,2,4,8000,16.45,0.27,1,10,1
56011,29,35000,1,0.0,5,1,5000,10.65,0.14,0,8,0
6392,25,62500,0,9.0,2,0,4000,7.66,0.06,0,2,0
4356,38,55000,2,2.0,3,0,7500,7.51,0.14,0,11,0
57449,22,45000,1,0.0,1,0,6400,9.32,0.14,0,4,0
29325,24,30000,1,2.0,4,0,4800,7.14,0.16,0,2,0
42307,46,68580,1,6.0,5,2,6000,13.35,0.09,0,16,0
11561,22,85000,0,4.0,2,0,21600,8.9,0.26,0,2,0
20657,24,24168,1,0.0,4,3,10625,14.09,0.41,0,3,1
25110,23,70000,0,7.0,5,1,4400,9.99,0.06,0,2,0
45916,33,58000,0,12.0,3,0,3000,7.68,0.05,0,8,0
38502,28,32000,2,4.0,0,0,8000,6.62,0.25,0,7,0
7302,35,125000,1,4.0,1,0,9600,8.49,0.08,0,10,0
8487,33,45000,1,4.0,5,1,5000,12.69,0.11,0,7,0
35130,26,130000,0,10.0,5,0,8000,7.14,0.06,0,4,0
6594,22,30000,1,4.0,1,1,10000,10.37,0.33,0,2,1
41677,22,32000,1,6.0,4,1,15000,10.25,0.47,0,3,1
54083,23,120000,0,3.0,4,1,10000,9.91,0.08,0,2,0
11316,25,34000,0,2.0,4,1,3000,9.25,0.09,0,2,0
13095,30,35004,1,0.0,4,0,10000,7.51,0.29,0,5,0
8791,28,132000,0,5.0,3,1,25000,11.12,0.19,0,8,0
42001,25,60000,1,5.0,3,0,5000,7.29,0.08,0,3,0
18542,23,60000,1,7.0,0,0,15000,7.88,0.25,0,4,0
45789,23,70000,0,1.0,1,1,12000,11.89,0.17,0,2,0
2245,23,60000,0,7.0,1,1,10000,12.18,0.17,0,4,0
51791,24,24000,1,1.0,1,2,5000,13.61,0.21,0,2,0
24957,23,120000,1,7.0,0,0,20000,7.14,0.17,0,3,0
46375,33,58000,1,17.0,1,0,12000,8.94,0.21,0,7,0
22480,23,100000,1,3.0,0,0,11000,7.29,0.11,0,3,0
9072,22,32400,1,4.0,5,0,4000,7.49,0.12,0,3,0
28922,36,25000,1,3.0,0,1,10000,11.48,0.4,0,11,1
29137,33,75000,2,5.0,1,0,15000,7.88,0.2,0,5,0
